Company,Year,Total Equity,Net Income
Shoprite,2025,30117.0,61442.0
Woolworths,2025,10711.0,27279.0
Pick n Pay,2025,10965.0,21764.0
Spar,2025,5312.3,14144.8
Shoprite,2024,27724.0,55539.0
Woolworths,2024,10926.0,27469.0
Pick n Pay,2024,-293.0,20280.0
Spar,2024,10373.7,13844.8
Shoprite,2023,26278.0,51706.0
Woolworths,2023,12021.0,26826.0
Pick n Pay,2023,3703.0,20936.6
Spar,2023,10221.6,17377.9
