Company,Metric,2023,2024,2025
Shoprite,Free Cash Flow (Rm),3407.0,4344.0,4129.0
Shoprite,CapEx Intensity (CapEx/Rev %),6.35,6.1,6.3
Woolworths,Free Cash Flow (Rm),-115.0,1497.0,1337.0
Woolworths,CapEx Intensity (CapEx/Rev %),9.66,6.75,6.58
Pick n Pay,Free Cash Flow (Rm),1224.6,924.0,-1002.0
Pick n Pay,CapEx Intensity (CapEx/Rev %),11.51,12.43,12.31
Spar,Free Cash Flow (Rm),-178.3,-1116.0,-1291.8
Spar,CapEx Intensity (CapEx/Rev %),12.17,16.24,15.18
