,2025,2024,2023
Asset Turnover,2.05,2.1,2.14
Inventory Turnover (Avg),6.58,6.61,6.95
DSI (Days),55.45,55.26,52.51
Receivables Turnover,512.85,795.72,1233.96
DSO (Days),0.71,0.46,0.3
Payables Turnover,2361.22,2278.05,2365.94
DPO (Days),0.15,0.16,0.15
CCC (Days),56.01,55.56,52.65
