,2025,2024,2023
Debt-to-Equity (excl Leases),0.29,0.32,0.49
Debt-to-Equity (incl Leases),1.86,1.78,1.85
Debt-to-Assets Ratio,0.45,0.44,0.47
Equity Ratio,0.24,0.25,0.26
Interest Coverage (EBIT / Fin Cost),0.0,0.0,0.0
Cash Interest Coverage (OCF / Fin Cost),0.0,0.0,0.0
