,2025,2024,2023
Current Ratio,1.19,1.21,1.27
Quick Ratio (CA - Inv),0.52,0.52,0.6
Quick Ratio (Cash + Rec),0.24,0.29,0.34
Cash Ratio,0.22,0.28,0.34
