,2025,2024,2023
Asset Turnover,2.61,2.46,2.56
Inventory Turnover (Avg),9.36,8.83,9.05
DSI (Days),38.99,41.32,40.33
Receivables Turnover,27.86,25.45,23.54
DSO (Days),13.1,14.34,15.5
Payables Turnover,6.4,6.1,5.77
DPO (Days),57.01,59.87,63.22
CCC (Days),-4.92,-4.2,-7.38
