,2025,2024,2023
Current Ratio,1.2,0.92,1.02
Quick Ratio (CA - Inv),0.48,0.31,0.45
Quick Ratio (Cash + Rec),0.47,0.3,0.43
Cash Ratio,0.35,0.19,0.29
