,2025,2024,2023
Gross Profit Margin (%),34.0,35.52,36.91
Operating Profit Margin (%),6.29,7.74,9.14
Net Profit Margin (%),3.06,3.36,6.99
Return on Equity (%),22.92,23.8,42.25
Return on Assets (%),6.01,6.72,12.95
