,2025,2024,2023
Asset Turnover,2.84,2.23,2.37
Inventory Turnover (Avg),21.3,17.85,12.32
DSI (Days),17.14,20.45,29.63
Receivables Turnover,8.03,7.58,8.17
DSO (Days),45.43,48.12,44.66
Payables Turnover,5.33,5.21,3.57
DPO (Days),68.45,70.04,102.13
CCC (Days),-5.87,-1.47,-27.84
