,2025,2024,2023
Current Ratio,0.99,0.89,0.94
Quick Ratio (CA - Inv),0.81,0.69,0.71
Quick Ratio (Cash + Rec),0.69,0.59,0.66
Cash Ratio,0.09,0.04,0.05
