,2025,2024,2023
Gross Profit Margin (%),10.76,10.57,11.87
Operating Profit Margin (%),1.51,2.03,1.72
Net Profit Margin (%),-3.67,0.27,0.3
Return on Equity (%),-90.89,3.39,4.33
Return on Assets (%),-10.45,0.6,0.72
