,2025,2024,2023
Current Ratio,1.12,0.79,0.75
Quick Ratio (CA - Inv),0.55,0.4,0.3
Quick Ratio (Cash + Rec),0.52,0.38,0.28
Cash Ratio,0.29,0.21,0.08
