,2025,2024,2023
Gross Profit Margin (%),23.94,23.5,23.54
Operating Profit Margin (%),5.82,5.36,5.62
Net Profit Margin (%),2.95,2.63,2.69
Return on Equity (%),25.18,22.44,22.46
Return on Assets (%),6.07,5.54,5.76
