,2025,2024,2023
Gross Profit Margin (%),17.77,17.58,19.16
Operating Profit Margin (%),1.44,0.35,2.79
Net Profit Margin (%),-0.53,-2.86,1.07
Return on Equity (%),-5.94,1126.62,31.59
Return on Assets (%),-1.39,-7.04,2.74
