,2025,2024,2023
Asset Turnover,1.96,2.0,1.85
Inventory Turnover (Avg),6.4,6.76,3.92
DSI (Days),57.02,53.98,93.17
Receivables Turnover,55.23,51.15,44.11
DSO (Days),6.61,7.14,8.28
Payables Turnover,6.29,6.06,5.5
DPO (Days),58.01,60.28,66.34
CCC (Days),5.62,0.84,35.1
